"Revista","Identificador","Editorial"
"Bull. Pol. Acad. Sci. Math","95","Polish Academy of Sciences"
"Bull. Soc. Roy. Sci. Liege","96","Universite de Liege"
"Bulletin de la Societe Royale des Sciences de Liege","97","Universite de Liege"
"Bulletin des sciences mathematiques","98","Elsevier"
"Bulletin of the American Mathematical Society","99","American Mathematical Society"
"Bulletin of the Australian Mathematical Society","100","Cambridge University Press"
"Bulletin of the Belgian Mathematical Society Simon Stevin","101","Belgian Mathematical Society"
"Bulletin of the Brazilian Mathematical Society New Series","102","Springer Science+Business Media"
"Bulletin of the London Mathematical Society","103","Oxford University Press"
"Bulletin of the Malaysian Mathematical Sciences Society","104","Springer Science Business Media"
"CEUR workshop proceedings. Proceedings of the","105","CEUR-WS.org"
"CRC Press","106","Taylor & Francis"
"CUADERNOS DE TURISMO","107","Universidad de Murcia"
"Cambridge University Press","108","Cambridge University Press"
"Canadian Mathematical Bulletin","109","Cambridge University Press"
"Central European Journal of Mathematics","110","Springer Science+Business Media"
"Centro de Investigacion Operativa Universidad Miguel Hernandez de Elche","111","Universidad Miguel Hernandez"
"Ch. the Transfer Matrix Method in Acoustics Springer International","112","Springer"
"Chaos Solitons & Fractals","113","Elsevier"
"Chaos: An Interdisciplinary Journal of Nonlinear Science","114","American Institute of Physics"
"Chinese Journal of Physics","115","Elsevier"
"Circulo de Linguistica Aplicada a la Comunicacion","116","Universidad Complutense de Madrid"
"Classical and Quantum Gravity","117","IOP Publishing"
"Collectanea Mathematica","118","Springer Science+Business Media"
"Color Image and Video Enhancement","119","Springer"
"Commentarii Mathematici Helvetici","120","European Mathematical Society"
"Communications in Algebra","121","Taylor & Francis"
"Communications on Pure & Applied Analysis","122","American Institute of Mathematical Sciences"
"Complex Analysis and Operator Theory","123","Springer Science+Business Media"
"Comptes Rendus Mathematique","124","Academie des Sciences"
"Comptes Rendus de l'Academie des Sciences Serie I - Mathematique","125","Academie des Sciences"
"Comptes Rendus. Physique","126","Academie des Sciences"
"Computational Optimization and Applications","127","Springer"
"Computer Applications in Engineering Education","128","Wiley"
"Computer Networks","129","Elsevier"
"Computer Physics Communications","130","Elsevier"
"Computer Vision and Image Understanding","131","Elsevier"
"Computer methods and programs in biomedicine","132","Elsevier"
"Computers","133","MDPI"
"Computers & Mathematics with Applications","134","Elsevier"
"Computers & Operations Research","135","Elsevier"
"Computers & Structures","136","Elsevier"
"Computing Letters","137","Tech Science Press"
"ConCIENCIAS. digital: revista de divulgacion cientifica de las Facultad de","138","Universidad de Zaragoza"
"Condensed Matter","139","MDPI"
"Conferencias y Comunicaciones de EuroRegio","140","Sociedad Espanola de Acustica (SEA)"
"Congres Francais d'Acoustique","141","Societe Française d'Acoustique (SFA)"
"Congreso Bienal de la Real Sociedad Matematica Espanola","142","Real Sociedad Matematica Espanola (RSME)"
"Consejo Superior de Investigaciones Cientificas (Espana)","143","Consejo Superior de Investigaciones Cientificas (CSIC)"
"Contemporary Mathematics","144","American Mathematical Society"
"Contributions to Plasma Physics","145","Wiley-VCH"
"Convergencia","146","Universidad Autonoma del Estado de Mexico"
"Critical reviews in biotechnology","147","Taylor & Francis"
"Crystals","148","MDPI"
"Cuadernos de Administracion","149","Universidad del Valle"
"Cuestiones Pedagogicas. Revista de Ciencias de la Educacion","150","Universidad de Sevilla"
"Cuestiones pedagogicas","151","Universidad de Sevilla"
"Czechoslovak Mathematical Journal","152","Academy of Sciences of the Czech Republic"
"DYNA","153","DYNA"
"Data","154","MDPI"
"Department of Mathematics and Statistics University of Helsinki","155","University of Helsinki"
"Descriptive Topology and Functional Analysis","156","Springer"
"Descriptive Topology and Functional Analysis II","157","Springer"
"Digital CSIC","158","Elsevier"
"Digital Scholarship in the Humanities","159","Oxford University Press"
"Direccion Y Organizacion","160","Asociacion Espanola de Direccion e Ingenieria de Proyectos (AEIPRO)"
"Direct and Large Eddy Simulation XII","161","Springer"
"Discrete and Continuous Dynamical Systems","162","American Institute of Mathematical Sciences"
"Designs codes and cryptography","163","Springer"
"Displays","164","Elsevier"
"Dissertationes mathematicae","165","Institute of Mathematics of the Polish Academy of Sciences"
"Divulgaciones Matematicas","166","Universidad del Zulia"
"Documenta Mathematica","167","Deutsche Mathematiker-Vereinigung"
"Doklady Mathematics","168","MAIK Nauka/Interperiodica"
"ECTS Assessment in Higher Education (ISBN:","169","Sistema Europeo de Transferencia y Acumulacion de Creditos"
"EDULEARN","170","IATED"
"EPI El Profesional de la informacion","171","Ediciones Profesionales de la Informacion"
"ETFA","172","IEEE"
"EURO Journal on Computational Optimization","173","Springer"
"Ecological Informatics","174","Elsevier"
"Econometrics","175","MDPI"
"Economia Agraria y Recursos Naturales","176","Asociacion Espanola de Economia Agraria"
"Ediciones Universidad de Salamanca","177","Universidad de Salamanca"
"Editorial Club Universitario","178","Editorial Club Universitario"
"Educacion Medica","179","Elsevier"
"El Profesional de la Informacion","180","Ediciones Profesionales de la Informacion"
"Electronic Notes in Discrete Mathematics","181","Elsevier"
"Electronic Notes in Theoretical Computer Science","182","Elsevier"
"Electronics","183","MDPI"
"Encuentros multidisciplinares","184","Universidad Politecnica de Madrid"
"Engineering Structures","185","Elsevier"
"Energies","186","MDPI"
"Engineering Proceedings","187","MDPI"
"Ensayos: Revista de la Facultad de Educacion de Albacete","188","Universidad de Castilla-La Mancha"
"Ensenanza de las ciencias: revista de investigacion y experiencias","189","Universidad Autonoma de Barcelona"
"Enterpreneurship and Sustainability Issues","190","Entrepreneurship and Sustainability Center"
"Entropy","191","MDPI"
"Environmental Engineering and Management Journal","192","Gh. Asachi Technical University of Iasi"
"Epsilon","193","Sociedad Andaluza de Educacion Matematica"
"Ergodic Theory and Dynamical Systems","194","Cambridge University Press"
"Espana. Ministerio de Cultura. Subdireccion General de Publicaciones","195","Ministerio de Cultura"
"Estableciendo puentes en una economia global. Escuela Superior de Gestion","196","ESG"
"Estudios DE Economia Aplicada","197","Revista de Estudios de Economia Aplicada"
"Estudios Turisticos","198","Instituto de Estudios Turisticos"
"European Journal of Clinical Microbiology and Infectious Diseases","199","Springer"
"European Journal of Engineering Education","200","Taylor & Francis"
"European Journal of Operational Research","201","Elsevier"
"European journal of cancer","202","Elsevier"
"European journal of physics","203","IOP Publishing"
"Europhysics Letters","204","IOP Publishing"
"Evolution Equations and Control Theory (Online)","205","American Institute of Mathematical Sciences"
"Experimental Mathematics","206","Taylor & Francis"
"Expert Systems","207","Wiley"
"Expert Systems with Applications","208","Elsevier"
"Extracta mathematicae","209","Universidad de Extremadura"
"FMC Formacion Medica Continuada en Atencion Primaria","210","Ediciones Doyma S.L."
"Figshare","211","Digital Science"
"Filomat","212","University of Niš"
"Finance Markets and Valuation","213","Universidad de Santiago de Compostela"
"Fixed Point Theory and Applications","214","Springer"
"Florida Ediciones","215","Florida Universitaria"
"Food Biophysics","216","Springer"
"Food and Agriculture","217","Taylor & Francis"
"Fortschritte der Physik","218","Wiley-VCH"
"Foundations of Physics","219","Springer"
"Freie Univ. Fachbereich Mathematik und Informatik","220","Freie Universitat Berlin"
"Frontiers in Optics","221","Optica Publishing Group"
"Frontiers in Psychology","222","Frontiers Media"
"Frontiers in Public Health","223","Frontiers Media"
"Frontiers Media SA","224","Frontiers Media"
"Funct. Approx. Comment. Math","225","Facultad de Matematicas y Ciencias de la Computacion de la Universidad Adam Mickiewicz en Poznan"
"Functional Analysis","226","Springer"
"Functiones et Approximatio Commentarii Mathematici","227","Adam Mickiewicz University"
"Fuzzy Sets and Systems","228","Elsevier"
"Gaceta de la Real Sociedad Matematica Espanola","229","Real Sociedad Matematica Espanola"
"Gender Technology and Development","230","SAGE Publications"
"General Topology in Banach Spaces Nova Sci. Publ. Huntington","231","Nova Science Publishers"
"Georgia Institute of Technology","232","Georgia Institute of Technology"
"Geometriae Dedicata","233","Springer"
"Geothermics","234","Elsevier"
"Glas. Mat","235","Croatian Mathematical Society"
"Glasgow Mathematical Journal","236","Cambridge University Press"
"Graefe's Archive for Clinical and Experimental Ophthalmology","237","Springer"
"Grey Journal (TGJ)","238","GreyNet International"
"HVAC&R Research","239","Taylor & Francis"
"Hacettepe University","240","Universidad de Hacettepe"
"Health Informatics Journal","241","SAGE Publications"
"Hipertext. net","242","Universitat de Vic - Universitat Central de Catalunya"
"Houston J. Math","243","University of Houston"
"Icarus","244","Elsevier"
"IEEE Access","245","IEEE"
"IEEE Computer Society","246","IEEE"
"IEEE EDUCON","247","IEEE"
"IEEE Revista Iberoamericana de Tecnologias del Aprendizaje","248","IEEE"
"IEEE Sensors Journal","249","IEEE"
"IEEE Transactions on Fuzzy Systems","250","IEEE"
"IEEE Transactions on Image Processing","251","IEEE"
"IEEE Transactions on Industry Applications","252","IEEE"
"IET Image Processing","253","Institution of Engineering and Technology"
"IET Synthetic Biology","254","Institution of Engineering and Technology"
"IJCAI","255","International Joint Conferences on Artificial Intelligence"
"INFORMS Inst.for Operations Res.and the Management Sciences","256","Sociedad de Investigacion de Operaciones y Ciencias de la Gestion"
"IOP Publishing","257","Institute of Physics"
"ISKO","258","Ergon Verlag"
"ISTE Limited","259","ISTE Ltd"
"Illinois Journal of Mathematics","260","University of Illinois"
"Image Analysis:","261","Springer"
"Image and Vision Computing","262","Elsevier"
"Indagationes Mathematicae","263","Royal Netherlands Academy of Arts and Sciences"
"Indice: Revista de Estadistica y Sociedad","264","Sociedad Espanola de Estadistica e Investigacion Operativa"
"Informatics for Health and Social Care","265","Taylor & Francis"
"Information","266","MDPI"
"Information Research","267","University of Sheffield"
"Information Sciences","268","Elsevier"
"Information research an international electronic journal","269","University of Sheffield"
"Innovacion educativa","270","UMA Editorial"
"Innovar","271","Universidad Nacional de Colombia"
"Instituto Universitario de Ciencias Politicas y Sociales. Universidad de La","272","Universidad de La Laguna"
"Instituto Universitario de Matematica Pura y Aplicada Universitat ...","273","Universitat Politecnica de valencia"
"Integral Equations and Operator Theory","274","Springer"
"Intellectual economics","275","Mykolas Romeris University"
"Interfaces and Free Boundaries","276","European Mathematical Society"
"International Institute of Informatics and Systemics IIIS","277","International Institute of Informatics and Systemics"
"International Journ Engineering Intelligent Systems Electrical Engineering ...","278","CRL Publishing Ltd"
"International Journal of Applied Ceramic Technology","279","Wiley"
"International Journal of Bifurcation and Chaos","280","World Scientific"
"International Journal of Business Performance and Supply Chain Modelling","281","Inderscience Publishers"
"International Journal of Complex Systems in Science","282","Asociacion para la Ciencia de Sistemas Complejos"
"International Journal of Computational Methods","283","World Scientific"
"International Journal of Computer Mathematics","284","Taylor & Francis"
"International Journal of Drug Policy","285","Elsevier"
"International Journal of Environmental Research and Public Health","286","MDPI"
"International Journal of Geometric Methods in Modern Physics","287","World Scientific"
"International Journal of Group Theory","288","Springer"
"International Journal of Heat and Mass Transfer","289","Elsevier"
"International Journal of Heat and Fluid Flow","290","Elsevier"
"International Journal of Information Technology & Decision Making","291","World Scientific"
"International Journal of Mathematics","292","World Scientific"
"International Journal of Modern Physics A","293","World Scientific"
"International Journal of Modern Physics D","294","World Scientific"
"International Journal of Sports Science & Coaching","295","SAGE Publications"
"International Journal of Strategic Property Management","296","Taylor & Francis"
"International Journal of Uncertainty Fuzziness and Knowledge Based Systems ...","297","World Scientific"
"International Mathematics Research Notices","298","Oxford University Press"
"International communications in heat and mass transfer","299","Elsevier"
"International journal of pavement engineering","300","Taylor & Francis"
"International journal of sports medicine","301","Thieme Medical Publishers"
"International transactions in operational research","302","Wiley"
"Investigacion Operacional","303","Universidad de La Habana"
"Investigacion bibliotecologica","304","Universidad Nacional Autonoma de Mexico"
"Investigaciones europeas de direccion y economia de la empresa","305","Elsevier"
"Investigative Ophthalmology & Visual Science","306","Association for Research in Vision and Ophthalmology"
"Iranian Journal of Fuzzy Systems","307","University of Sistan and Baluchestan"
"Israel Journal of Mathematics","308","Hebrew University Magnes Press"
"JMIR Medical Informatics","309","JMIR Publications"
"JMIR Public Health and Surveillance","310","JMIR Publications"
"JOSA A","311","Optica Publishing Group"
"JOSA B","312","Optica Publishing Group"
"JP J.Geom.Topol.","313","Pushpa Publishing House"
"JP Journal of Geometry and Topology","314","Pushpa Publishing House"
"Journal d Analyse Mathematique","315","Hebrew University Magnes Press"
"Journal de Mathematiques Pures et Appliquees","316","Elsevier"
"Journal for the History of Astronomy","317","SAGE Publications"
"Journal fur die reine und angewandte Mathematik (Crelles Journal)","318","De Gruyter"
"Journal of Algebra","319","Elsevier"
"Journal of Applied Analysis","320","De Gruyter"
"Journal of Applied Mathematics","321","Hindawi"
"Journal of Applied Mechanics","322","ASME"
"Journal of Applied Physics","323","AIP Publishing"
"Journal of Approximation Theory","324","Elsevier"
"Journal of Biological Systems","325","World Scientific"
"Journal of Business Economics and Management","326","Taylor & Francis"
"Journal of Catalan Studies","327","North American Catalan Society"
"Journal of Classification","328","Springer"
"Journal of Computational Biology","329","Mary Ann Liebert,Inc."
"Journal of Computational Methods in Science and Engineering","330","IOS Press"
"Journal of Computational and Applied Mathematics","331","Elsevier"
"Journal of Convex Analysis","332","Heldermann Verlag"
"Journal of Difference Equations and Applications","333","Taylor & Francis"
"Journal of Differential Equations","334","Elsevier"
"Journal of Dynamics and Differential Equations","335","Springer"
"Journal of Electronic Imaging","336","SPIE and IS&T"
"Journal of Engineering Mathematics","337","Springer"
"Journal of Evolution Equations","338","Birkhauser"
"Journal of Fluid Mechanics","339","Elsevier"
"Journal of Fourier Analysis and Applications","340","Springer"
"Journal of Function Spaces","341","Hindawi"
"Journal of Functional Analysis","342","Elsevier"
"Journal of Geometry and Physics","343","Elsevier"
"Journal of High Energy Physics","344","Springer"
"Journal of Imaging Science and Technology","345","Society for Imaging Science and Technology"
"Journal of Industrial Engineering and Management (JIEM)","346","OmniaScience"
"Journal of Inequalities and Applications","347","Springer"
"Journal of Information Science Theory and Practice","348","Korean Institute of Information Scientists and Engineers"
"Journal of Intelligent & Robotic Systems","349","Springer"
"Journal of Interdisciplinary Mathematics","350","Taylor & Francis"
"Journal of Mathematical Analysis and Applications","351","Elsevier"
"Journal of Mathematical Physics","352","AIP Publishing"
"Journal of Mathematical Sciences","353","Springer"
"Journal of Mathematics","354","Hindawi"
"Journal of Modern Optics","355","Taylor & Francis"
"Journal of Non Crystalline Solids","356","Elsevier"
"Journal of Nonlinear Optical Physics & Materials","357","World Scientific"
"Journal of Nonlinear and Convex Analysis","358","Yokohama Publishers"
"Journal of Open Innovation: Technology Market and Complexity","359","MDPI"
"Journal of Operator Theory","360","Theta Foundation"
"Journal of Physics A: Mathematical and General","361","IOP Publishing"
"Journal of Physics A: Mathematical and Theoretical","362","IOP Publishing"
"Journal of Physics B: Atomic Molecular and Optical Physics","363","IOP Publishing"
"Journal of Physics D: Applied Physics","364","IOP Publishing"
"Journal of Physics: Conference Series","365","IOP Publishing"
"Journal of Pseudo-Differential Operators and Applications","366","Birkhauser"
"Journal of Pure and Applied Algebra","367","Elsevier"
"Journal of Quantitative Spectroscopy and Radiative Transfer","368","Elsevier"
"Journal of Risk and Financial Management","369","MDPI"
"Journal of Sound and Vibration","370","Elsevier"
"Journal of Spectral Theory","371","European Mathematical Society"
"Journal of Thoracic Oncology","372","Elsevier"
"Journal of Vibration and Acoustics","373","ASME"
"Journal of Visual Communication and Image Representation","374","Elsevier"
"Journal of biotechnology","375","Elsevier"
"Journal of molecular microbiology and biotechnology","376","Karger"
"Journal of the American Medical Informatics Association","377","Oxford University Press"
"Journal of the Association for Information Science and Technology","378","Wiley"
"Journal of the Australian Mathematical Society","379","Cambridge University Press"
"Journal of the London Mathematical Society","380","Wiley"
"Journal of the Mathematical Society of Japan","381","Mathematical Society of Japan"
"Journal of the Operational Research Society","382","Taylor & Francis"
"Kossuth Lajos Tudomanyegyetem","383","Universidad de Debrecen"
"Kybernetika","384","Institute of Information Theory and Automation"
"La Gaceta de la Real Sociedad Matematica Espanola","385","Real Sociedad Matematica Espanola"
"Laser & photonics reviews","386","Wiley-VCH"
"Lecture notes in pure and applied mathematics","387","Routledge"
"Letters in Mathematical Physics","388","Springer Netherlands"
"Linear Algebra and its Applications","389","Elsevier"
"Linear and Multilinear Algebra","390","Taylor & Francis"
"London Mathematical Society Lecture Notes Series","391","Cambridge University Press"
"Mathematics Journal","392","MDPI"
"Machine Learning","393","Springer"
"Matematicalia","394","Universidad de Granada"
"Matematicas: Ensenanza Universitaria","395","Universidad de Los Andes en Venezuela"
"Matematicki Vesnik","396","Mathematical Society of Serbia"
"Materials","397","MDPI"
"Math. Jpn","398","Sociedad Matematica de Japon"
"Mathematica Scandinavica","399","Mathematica Scandinavica"
"Mathematical Foundations of Computing","400","American Institute of Mathematical Sciences"
"Mathematical Inequalities & Applications","401","Element"
"Mathematical Inequalities and Applications","402","Element"
"Mathematical Methods in the Applied Sciences","403","Wiley"
"Mathematical Notes","404","Springer"
"Mathematical Problems in Engineering","405","Hindawi"
"Mathematical Proceedings of the Cambridge Philosophical Society","406","Cambridge University Press"
"Mathematical Programming","407","Springer"
"Mathematical Research Letters","408","International Press of Boston"
"Mathematical and Computer Modelling","409","Elsevier"
"Mathematics Magazine","410","Taylor & Francis"
"Mathematics and Mechanics of Solids","411","SAGE Publications"
"Mathematische Annalen","412","Springer"
"Mathematische Nachrichten","413","Wiley"
"Mathematische Zeitschrift","414","Springer"
"Mechanical Systems and Signal Processing","415","Elsevier"
"Medicina Clinica","416","Elsevier"
"Mediterranean Journal of Mathematics","417","Springer"
"Metabolites","418","MDPI"
"Metabolites. Basel. Vol.","419","MDPI"
"MethodsX","420","Elsevier"
"Michigan Mathematical Journal","421","University of Michigan"
"MODELLING FOR ADDICTIVE BEHAVIOUR MEDICINE AND ENGINEERING","422","Universitat Politecnica de Valencia"
"Modelling in Science Education and Learning","423","Universitat Politecnica de Valencia"
"Modern Physics Letters A","424","World Scientific"
"Monatshefte fur Mathematik","425","Springer"
"Monografie Matematyczne","426","Polish Academy of Sciences"
"Montes Taurus Journal of Pure and Applied Mathematics","427","MTJPAM"
"Monthly Notices of the Royal Astronomical Society","428","Oxford University Press"
"Nagoya Mathematical Journal","429","Cambridge University Press"
"Nature","430","Springer"
"Neural Computing and Applications","431","Springer"
"Neurocomputing","432","Elsevier"
"New Journal of Physics","433","IOP Publishing"
"New biotechnology","434","Elsevier"
"Nonlinear Analysis: Theory Methods & Applications","435","Elsevier"
"Nonlinear Dynamics","436","Springer"
"North-Holland Mathematics Studies","437","Elsevier"
"Note di Matematica","438","University of Lecce"
"Nuclear Instruments and Methods in Physics Research Section A: Accelerators","439","Elsevier"
"Numerical Heat Transfer: Part B: Fundamentals","440","Taylor & Francis"
"Oberwolfach Reports","441","European Mathematical Society"
"Open Mathematics","442","De Gruyter"
"Open Problems in the Geometry and Analysis of Banach Spaces","443","Springer"
"Operational Research","444","Springer"
"Operator Theory: Advances and Applications","445","Birkhauser"
"Operators and Matrices","446","Element"
"Opt. Lett.","447","Optica Publishing Group"
"Optica pura y aplicada. Revista en espanol de optica y fotonica","448","Sociedad Espanola de Optica"
"Optics Express","449","Optica Publishing Group"
"Optics Letters","450","Optica Publishing Group"
"PASOS Revista de Turismo y Patrimonio Cultural","451","PASOS Edita"
"PH: Boletin del Instituto Andaluz del Patrimonio Historico","452","Instituto Andaluz del Patrimonio Historico"
"PROFESIONAL DE LA INFORMACION","453","EPI"
"Pacific journal of mathematics","454","Mathematical Sciences Publishers"
"Pain Practice","455","Wiley"
"Pattern Recognition Letters","456","Elsevier"
"Pediatria Atencion Primaria","457","Asociacion Espanola de Pediatria de Atencion Primaria (AEPap)"
"Perfiles latinoamericanos","458","Facultad Latinoamericana de Ciencias Sociales (FLACSO)"
"Periodica Mathematica Hungarica","459","Springer"
"Phononics","460","Elsevier"
"Photonics and Nanostructures Fundamentals and Applications","461","Elsevier"
"Physica D: Nonlinear Phenomena","462","Elsevier"
"Physica Scripta","463","IOP Publishing"
"Physical Acoustics","464","Elsevier"
"Physical Review Applied","465","American Physical Society"
"Physical Review Letters","466","American Physical Society"
"Physics Letters A","467","Elsevier"
"Physics Procedia","468","Elsevier"
"Physics Reports","469","Elsevier"
"Planetary and Space Science","470","Elsevier"
"PloS one","471","Public Library of Science (PLOS)"
"Portugaliae Mathematica","472","European Mathematical Society"
"Positivity","473","Springer"
"Procedia Computer Science","474","Elsevier"
"Proceedings of Meetings on Acoustics","475","Acoustical Society of America"
"Proceedings of Science","476","SISSA Medialab"
"Proceedings of the AMS","477","American Mathematical Society"
"Proceedings of the Edinburgh Mathematical Society","478","Cambridge University Press"
"Proceedings of the Institute of Mathematics and Mechanics","479","Institute of Mathematics and Mechanics of the National Academy of Sciences of Azerbaijan"
"Proceedings of the Institution of Mechanical Engineers Part M: Journal of","480","SAGE Publications"
"Proceedings of the London Mathematical Society","481","London Mathematical Society"
"Proceedings of the National Academy of Sciences","482","National Academy of Sciences"
"Proceedings of the Royal Society A","483","Royal Society"
"Proceedings of the Royal Society of Edinburgh Section A: Mathematics","484","Cambridge University Press"
"Proceedings-Mathematical Sciences","485","Indian Academy of Sciences"
"Progress of Theoretical Physics Supplement","486","Physical Society of Japan"
"Psychologica Belgica","487","Ubiquity Press"
"Publ. Math. Debrecen","488","University of Debrecen"
"Publicacions Matematiques","489","Universitat Autònoma de Barcelona"
"Publications of the Astronomical Society of the Pacific","490","IOP Publishing"
"Publications of the Research Institute for Mathematical Sciences","491","European Mathematical Society"
"Quaderns de Filosofia i Ciencia","492","Universitat de València"
"Quaestiones Mathematicae","493","Taylor & Francis"
"Quality & Quantity","494","Springer"
"Quarterly Journal of Mathematics","495","Oxford University Press"
"Quodons in Mica: Nonlinear Localized Travelling Excitations in Crystals","496","Springer"
"REDU. Revista de Docencia Universitaria","497","Red de Docencia Universitaria"
"REVISTA ESPANOLA DE DOCUMENTACION CIENTIFICA","498","Consejo Superior de Investigaciones Cientificas (CSIC)"
"REVISTA ORL","499","Ediciones Universidad de Salamanca"
"Real Academia de Ciencias","500","Real Academia de Ciencias Exactas,Fisicas y Naturales de Espana"
"Real Estate Management and Valuation","501","De Gruyter"
"Real Time Imaging","502","Academic Press"
"Rendiconti LinceiMatematica e Applicazioni","503","Springer"
"Rendiconti del Circolo Matematico di Palermo","504","Springer"
"Rendiconti del Seminario Matematico della Universita di Padova","505","Università degli Studi di Padova"
"Research evaluation","506","Oxford University Press"
"Research in Transportation Business & Management","507","Elsevier"
"Results Math","508","Springer"
"Results in Engineering","509","Elsevier"
"Results in Mathematics","510","Springer"
"Rev. R. Academia de Ciencias de Madrid","511","Real Academia de Ciencias Exactas,Fisicas y Naturales de Madrid"
"Rev. Tec. Ing. LUZ","512","Universidad del Zulia"
"Rev. chil. cir","513","Sociedad de Cirujanos de Chile"
